TIMESTAMP,CPU_USER,CPU_SYSTEM,CPU_IOWAIT,MEM_USED_MB,MEM_AVAILABLE_MB,MEM_PERCENT,MYSQL_CONNECTIONS,PHP_FPM_PROCESSES,REDIS_CLIENTS,REDIS_OPS_SEC,TCP_ESTABLISHED
2026-08-26 20:32:04,51741809,7519060,637341909,1429,6511,10.0,3,,0,0,32
2026-08-26 20:32:06,51741930,7519089,637342008,1429,6511,10.0,4,,0,0,29
2026-08-26 20:32:07,51742045,7519148,637342064,1559,6381,10.0,6,,0,0,211
2026-08-26 20:32:10,51742421,7519293,637342064,1758,6182,20.0,6,,0,0,187
2026-08-26 20:32:11,51742611,7519353,637342064,1809,6131,20.0,4,,0,0,170
2026-08-26 20:32:12,51742804,7519404,637342064,1836,6104,20.0,8,,0,0,156
2026-08-26 20:32:13,51743003,7519444,637342064,1829,6111,20.0,6,,0,0,131
2026-08-26 20:32:14,51743198,7519487,637342064,1833,6107,20.0,7,,0,0,107
2026-08-26 20:32:16,51743410,7519533,637342064,1797,6143,20.0,5,,0,0,72
2026-08-26 20:32:17,51743608,7519571,637342064,1820,6120,20.0,9,,0,0,43
2026-08-26 20:32:18,51743815,7519610,637342064,1839,6101,20.0,8,,0,0,45
2026-08-26 20:32:19,51744012,7519651,637342064,1901,6039,20.0,11,,0,0,48
